un	一,一个adj.
deux	二,两adj.
trois	三adj.
quatre	四adj.
cinq	五adj.
six	六adj.
sept	七adj.
huit	八adj.
neuf	九adj.
dix	十adj.
onze	十一adj.
douze	十二adj.
treize	十三adj.
quatorze	十四adj.
quinze	十五adj.
seize	十六adj.
dix-sept	十七adj.
dix-huit	十八adj.
dix-neuf	十九adj.
vingt	二十adj.
vingt et un	二十一adj.
vingt et une	二十一adj.
vingt-deux	二十二adj.
vingt-trois	二十三adj.
vingt-quatre	二十四adj.
vingt-cinq	二十五adj.
vingt-six	二十六adj.
vingt-sept	二十七adj.
vingt-huit	二十八adj.
vingt-neuf	二十九adj.
trente	三十adj.
trente et un	三十一adj.
trente et une	三十一adj.
trente-deux	三十二adj.
trente-trois	三十三adj.
trente-quatre	三十四adj.
trente-cinq	三十五adj.
trente-six	三十六adj.
trente-sept	三十七adj.
trente-huit	三十八adj.
trente-neuf	三十九adj.
quarante	四十adj.
quarante et un	四十一adj.
quarante et une	四十一adj.
quarante-deux	四十二adj.
quarante-trois	四十三adj.
quarante-quatre	四十四adj.
quarante-cinq	四十五adj.
quarante-six	四十六adj.
quarante-sept	四十七adj.
quarante-huit	四十八adj.
quarante-neuf	四十九adj.
cinquante	五十adj.
cinquante et un	五十一adj.
cinquante et une	五十一adj.
cinquante-deux	五十二adj.
cinquante-trois	五十三adj.
cinquante-quatre	五十四adj.
cinquante-cinq	五十五adj.
cinquante-six	五十六adj.
cinquante-sept	五十七adj.
cinquante-huit	五十八adj.
cinquante-neuf	五十九adj.
soixante	六十adj.
soixante et un	六十一adj.
soixante et une	六十一adj.
soixante-deux	六十二adj.
soixante-trois	六十三adj.
soixante-quatre	六十四adj.
soixante-cinq	六十五adj.
soixante-six	六十六adj.
soixante-sept	六十七adj.
soixante-huit	六十八adj.
soixante-neuf	六十九adj.
soixante-dix	七十adj.
soixante-onze	七十一adj.
soixante-douze	七十二adj.
soixante-treize	七十三adj.
soixante-quatorze	七十四adj.
soixante-quinze	七十五adj.
soixante-seize	七十六adj.
soixante-dix-sept	七十七adj.
soixante-dix-huit	七十八adj.
soixante-dix-neuf	七十九adj.
quatre-vingts	八十adj.
quatre-vingt-un	八十一adj.
quatre-vingt-deux	八十二adj.
quatre-vingt-trois	八十三adj.
quatre-vingt-quatre	八十四adj.
quatre-vingt-cinq	八十五adj.
quatre-vingt-six	八十六adj.
quatre-vingt-sept	八十七adj.
quatre-vingt-huit	八十八adj.
quatre-vingt-neuf	八十九adj.
quatre-vingt-dix	九十adj.
quatre-vingt-onze	九十一adj.
quatre-vingt-douze	九十二adj.
quatre-vingt-treize	九十三adj.
quatre-vingt-quatorze	九十四adj.
quatre-vingt-quinze	九十五adj.
quatre-vingt-seize	九十六adj.
quatre-vingt-dix-sept	九十七adj.
quatre-vingt-dix-huit	九十八adj.
quatre-vingt-dix-neuf	九十九adj.
cent	一百adj.
cent un	一百一adj.
appeler	叫,称v.
bienvenue	欢迎n.f.
bonjour	你好;早上好int.
nous nous appelons	我们叫v.
Tu t'appelles comment	你叫什么名字?phr.
Bienvenue à tous	欢迎大家phr.
Bonjour, monsieur	早上好,先生phr.
Bonjour, madame	早上好,夫人phr.
Bonjour, mademoiselle	早上好,小姐phr.
Bonsoir	晚上好int.
Salut	你好int.
ce	这个pron.
C'est Julie	这是朱莉phr.
Ce sont Aldo et Julie	这是阿尔多和朱莉phr.
étudiant	学生n.m.
étudiante	学生n.f.
Il est étudiant	他是学生
Elle est étudiante	她是学生
femme	妻子n.f.女人
Voici ma femme	这是我的妻子=C'est ma femme
Voici mon mari	这是我的丈夫=C'est mon mari
homme	男人n.m.
C'est un homme	这是一个男人
Il est français	他是法国人
Elle est française	她是法国人
C'est un Français	这是一个法国人
C'est une Française	这是一个法国女人
italienne	意大利人n.f.
Il est italien	他是意大利人
Elle est italienne	她是意大利人
C'est un Italien	这是一个意大利人
C'est une Italienne	这是一个意大利女人
le Baule	巴乌勒n.m.
ma femme	我的妻子
ma mère	我的母亲
mon mari	我的丈夫
mon père	我的父亲
madame	夫人n.f.
mesdames	夫人们n.f.
monsieur	先生n.m.
messieurs	先生们n.m.
mademoiselle	小姐n.f.
mesdemoiselles	小姐们n.f.
nationalité	国籍n.f.
nom	姓
prénom	名
qui est-ce	这是谁?phr.
C'est qui	这是谁?phr.
Qui c'est	这是谁?phr.
voici	这是phr.
Voici Julie	这是朱莉
Voilà Aldo	那是阿尔多
à	在;向,到;给......prép.
ah	啊!唉!interj.
l'assistant	助理,助手,副手
assistante	助理,助手,副手n.
belge	比利时的adj.;比利时人n.Belge(首字母大写)
chinois	中国的adj.;中国人n.(首字母大写)
chinoise	中国的adj.中国人n.(首字母大写)
cours	课,课程n.m.
directeur	经理n.阳性形式
directrice	经理n.阴性形式
en	在......(指地点)prép.
espagnole	西班牙的adj.;西班牙人(首字母大写)n.
français	法语n.m.
la France	法国n.f.
Japon	日本n.m.Japon
japonais	日本的adj.日本人Japonais(n.)
japonaise	日本的adj.日本人Japonaise(n.)
rendez-vous	约会,预约n.m.
sur rendez-vous	(医生接待)预约就诊(的病人)
secrétaire	秘书n.
s'il vous plaît	请,请您,请问loc.
Suisse	瑞士Suisse(n.f)
sympa	(俗)给人好感的,讨人喜欢的adj.inv.
téléphone	电话;电话机n.m
affiche	海报,广告n.f.
C'est une affiche	这是一张海报
assiette	盘子n.f.
C'est une assiette	这是一个盘子
au-dessous	在下面,通常表示某物在另一物的正下方。
au-dessus	“在上面”;...以上
Il parle français avec un accent anglais	他说法语带有英语口音
blouson	夹克衫n.m.
C'est le blouson de Paul	这是保罗的夹克
chaise	椅子n.f.
Il y a une chaise	有一张椅子
chambre	卧室n.f.
Il y a une chaise dans la chambre	房间里有一把椅子。
chapeau	帽子n.m.
C'est un chapeau	这是一顶帽子。
chatte	母猫
le mur	墙
Il y a une chaise contre le mur	墙边有一把椅子。
côté	旁,侧n.m.通常用来表示物体的侧面或与某事物的关系。
Il habite à côté	他住在旁边。
À côté de la table	在桌子旁边。
cuillère	勺,匙n.f.
Il est devant moi	他在我面前。
droite	右面,右边,右方
Le café est à droite du cinéma	咖啡馆在电影院的右边。
étagère	格,隔板,架子;多层架子n.f.
fauteuil	扶手椅n.m.
fenêtre	窗户;窗子,窗户,玻璃窗n.f.
fleur	“花”。它是一个阴性名词
gauche	左边,左面n.f.
roulent	行驶(动词“rouler”的第三人称复数形式)
En Angleterre le voitures roulent à gauche	在英国,汽车靠左行驶。
Anna est à gauche de Sophie	安娜在索菲的左边
Il y a une table à côté de la chaise	椅子旁边有一张桌子
meuble	家具n.m.
mur	墙壁n.m
objet	物体;物品,东西n.m.
ordinateur	电脑n.m.
pièce	房间n.f.
porte	戴,带,穿;门n.f.
sac	包n.m.
Le chat est sous la table	猫在桌子下面。
Le livre est sur l'étagère	书在书架上。
le vase	花瓶n.m.
Il y a des fleurs dans le vase	花瓶里有花
sur	在..上面prep=On
devant	在......前面prep
contre	紧挨着
à gauche de	在左边
à droite de	在右边
Elle est à côté de lui	她在他的旁边
autre	另一个的,别的,另外的adj
des baskets	篮球鞋,运动鞋(一般用复数)n.f.
bleu	蓝色的adj,阳性单数
bleue	蓝色的adj,阴性单数
blond	金色的,金色头发
blonde	金色的,金色头发(阴性单数)
brune	棕色的(阴性)
brun	棕色的
chaussure	鞋;鞋子,靴n.f.
chemise	男式衬衫n.f.
chemisier	女衬衫n.m.
chose	事情,事物n.f.
couleur	颜色n.f.
d'accord	同意,赞同loc.adv.
Tu es d'accord	你同意吗?
Oui je suis d'accord	是的,我同意
grand	高大的adj阳性
grande	大;大的;大型的;伟大的;优秀的;高大的adj阴性
Un homme grand	身材高大的男人
Un grand homme	伟大的人
un jean	牛仔裤n.m.
leur	他们的,她们的,它们的
leurs	他们的,她们的,它们的
Je parle à lui	(我在和他说话。)
lunettes	眼镜,阴性复数名词
des lunettes	眼镜
noir	黑色的
noire	黑色的n.f.
pantalon	裤子;长裤n.m.
porter un pantalon	穿戴,佩戴v.t.
portrait-robot	模拟画像(警方综合搜捕对象的特征所制的)n.m.
rouge	红色的;红色(阴阳同形)
tee-shirt	短袖圆领棉汗衫n.m.
vêtement	衣服,服装,衣裳
vêtements	衣服
Quelle couleur	什么颜色?
J'aime bien cette couleur	我很喜欢这种颜色
Cent euros pour un tee-shirt	一件T恤一百欧元
C'est cher	这很贵
Elle n'est pas très chère	它不太贵
Elle ne coûte pas très cher	“它花费不多”(cher做副词没有阴阳性变化)
Ça fait combien	“这个多少钱?”
coûter	“值(多少钱);花费(多少钱)”
Combien coûte cette robe	“这条裙子多少钱?”
gris	灰色的、灰白的、花白的
grise	法语单词“gris”的阴性形式
C'est pour toi	“这是给你的”
quantité	“数量;量;大量;许多”
taille	(成衣的)尺寸,尺码n.f.
Quelle est votre taille	“您的尺码是多少?”或者“您的身高是多少?”
Comment est-ce que tu trouves ce pantalon	“你觉得这条裤子怎么样?”
Comment est-ce qu'il trouve Marie	“他觉得玛丽怎么样?”
J'aime bien ce type de pantalon	“我很喜欢这种类型的裤子”
J'adore ce type de sport	“我酷爱这种类型的运动”
vendeur	“售货员,营业员;销售员,推销员”
vendeuse	售货员(阴性)
artiste	艺术家n
le coin	角落,街角n.m
écrivain	“作家;作者n.m.
entre	在。。。之间prep.
entre A et B	在A和B之间
un film	电影,影片n.m.
môme	小孩,小家伙<俗>n.一个通俗用语、略带贬义的名词
musicien	“音乐家;乐师;演奏家”n.m.
musicienne	“musicien”的阴性形式;“女音乐家;女乐师;女演奏家”
poème	“诗;诗篇”
poète	“诗人”
sculpteur	“雕塑家;雕刻家”n
sculptrice	女雕塑家
tableau	名词,意为“黑板;图画;表格”
dans	在......里;处于....prép;在......里prép
trouver	找到;找到,发现v.t.;找到;找到,发现v.t.;“找到;发现”“感到,觉得”
un sculpteur	雕塑家n.m.
une sculptrice	女雕塑家n.f.
Camille Claudel	卡米尔·克劳德尔
un musicien	音乐家n.m.
un poète	诗人n.m.
un écrivain	作家n.m.
Le poète	诗人n.m.
L'écrivain est à gauche dans le tableau.	作家在画中的左边。
à gauche du peintre	在画家的左边。
à droite du sculpteur	在雕塑家的右边。
À côté de Claude Debussy	在克劳德·德彪西的旁边。
moi	我pron.
toi	你pron.
elle	她pron.
vous	你们,您pron.
nous	我们pron.
eux	他们pron.
elles	她们pron.
Ma mère habite avec nous	我妈妈和我们住在一起。
Vous travaillez chez vous	你们在家工作。
Eux,ils adorent le football	他们喜欢足球。
C'est pour qui	这是给谁的?
Il y a un bureau avec une chaise ici	这里有一张桌子和一把椅子。
Où est-ce que le restaurant japonais se trouve	日本餐厅在哪里?
A côté de chez moi	在我家旁边。
Tu vas où maintenant	你现在去哪里?(口语)
A la bibliothèque	去图书馆。
Où est-ce que tu vas	你去哪里?(书面、口语)
Où tu vas	你去哪里?(口语)
Où vas-tu	你去哪里?(书面)
Où est-ce que le restaurant se trouve	餐厅在哪里?
Où le restaurant se trouve	餐厅在哪里?
Où le restaurant se trouve-t-il	餐厅在哪里?
Le restaurant se trouve où	餐厅在哪里?
peintre	“画家;画师;油漆工”n.m.; 画家n.m.
lui	他,第三人称单数的间接宾语代词; 他pron.
agence	代理处,代办处n.f.
agence immobilière	房地产代理处n.f.(immobilière为阴性形容词)
ancien	以前的,旧的adj.
ancienne	以前的,从前的adj.
un ancien appartement	以前的公寓n.m.
une ville ancienne	古老的城市n.f.
annonce	启事,告示,布告,公告n.f.
une petite annonce	小广告n.f.
appartement	公寓n.m.
une maison	房子n.f.
ascenseur	电梯n.m.
une avenue	大街,大道n.f.
bout	末端,尽头n.m.
au bout de	在......的尽头
au bout du monde	在世界的尽头
au bout du couloir	在走廊的尽头
bruyant	吵闹的adj.
bruyante	吵闹的adj.
une rue bruyante	吵闹的街道n.f.
un bureau	办公室,写字台n.m.
calme	安静的adj.
une rue calme	安静的街道n.f.
chez	在......家
chez moi	在我家
chez Julie	在朱利家
chez Renault	在雷诺公司
clair	明亮的adj.
une chambre claire	明亮的房间n.f.
couloir	走廊n.m.
douche	淋浴n.f.淋浴设备,莲蓬头
entrée	入口,进入n.f.门厅
étage	楼层n.m.
au rez-de-chaussée	在一楼
au premier étage	在二楼
au deuxième étage	在三楼
au troisième étage	在四楼
la face	(物体的)面n.f.
en face de	在......对面
En face du parc	在公园对面
Il y a un parking en face du parc	公园对面有一个停车场。
immeuble	大楼n.m.
immobilière	房地产的adj.
immobilier	房地产的adj.阳性
une agence immobilière	房地产代理处n.f.
louer	租用,出租v.t.
louer un appartement	租用一套公寓
mètre	米n.m.
mois	月n.m.
placard	壁橱n.m.
le plan	平面图n.m.
premier	第一的adj.
première	第一的adj.阴性的
récent	最近的,新的adj.
récente	最近的,新的adj.
le responsable	负责人,主管n.m.
rez-de-chaussée	(建筑物)底层,一楼n.m.
une salle vide	空旷的房间n.f.
salle de bains	浴室n.f.
les salutations	敬意n.f.pl.(信末用语)
sombre	黑暗的,昏暗的,阴暗的adj.
une chambre sombre	昏暗的房间n.f.
toilettes	卫生间,厕所n.f.pl.
troisième	第三的adj.num.ord.
un appartement	一套公寓n.m.
la chambre	卧室n.f.
la salle de bains	浴室n.f.
les toilettes	卫生间,厕所n.f.pl.
la salle à manger	餐厅n.f.
le salon	客厅n.m.
le balcon	阳台n.m.
l'entrée	入口n.f.
Le couloir	走廊n.m.
claire	明亮的,清晰的,清楚的adj.; 明亮的,清晰的adj.
la cuisine	厨房,烹调,烹饪法;菜肴n.f.; 厨房n.f.
cet ami	这位朋友(阳性以元音音素开头的名词前用cet)
cet hôtel	这家旅馆
cet objet	这个物体
ces garçons	这些男孩(复数名词前用ces)
ces étudiants	这些学生(复数名词前用ces)
cette fille	这个女孩(阴性名词前用cette)
ces filles	这些女孩(复数名词前用ces)
cette année	今年(阴性名词前用cette)
ce livre-ci	这本书(阳性名词前用ce, ci表示“这个”)
cette table-là	那张桌子(阴性名词前用cette, là表示“那个”)
ces romans-ci	这些小说(复数名词前用ces, ci表示“这些”)
ces voitures-là	那些汽车(复数名词前用ces, là表示“那些”)
L'immeuble est au coin de la rue Victor-Hugo et de la rue Michelet	房子在维克多雨果街和米歇尔街的拐角处。
L'appartement est au troisième étage avec ascenseur	公寓在四楼,有电梯。
La cuisine est à gauche de l'entrée	厨房在入口的左边。
En face de la cuisine	在厨房的对面
Vous avez les toilettes et une salle de bains avec une douche	你有一个卫生间和一个带淋浴的浴室。
La chambre est au bout du couloir	卧室在走廊的尽头。
Il y a un lit et un bureau avec une chaise	有一张床和一张带椅子的书桌。
À gauche du couloir	在走廊的左边
Il y a le salon	有客厅。
Vous avez deux placards dans l'appartement	你在公寓里有两个壁橱。
Meilleures salutations	致以最诚挚的问候
Alain Dauger	阿兰·多杰尔
Responsable de l'agence Loca-loisirs	“Loca-loisirs	中介负责人”
C'est un immeuble récent avec un parking	这是一栋带停车场的新楼。
Je prends	我拿
Tu prends	你拿
Il prend	他拿
Elle prend	她拿
Nous prenons	我们拿
Vous prenez	你们拿
Ils prennent	他们拿
Elles prennent	她们拿
Prenez-vous le bus	你们坐公共汽车吗?
Je prends le taxi	我打车
Je vais	我去
Tu vas	你去
Il va	他去
Elle va	她去
Nous allons	我们去
Vous allez	你们去
Ils vont	他们去
Elles vont	她们去
Je vais au cinéma	我去看电影
l'impératif	命令式
Excuse-moi	对不起(命令式)
Fais comme moi	跟我一样做(命令式)
Suivez-moi	跟我来(命令式)
parler	说(原形)
Je parle	我说
Tu parles	你说
Il parle	他说
Elle parle	她说
Nous parlons	我们说
Vous parlez	你们说
Elles parlent	她们说
Parle	请你说!(命令式,如果动词是er结尾,去掉er加e)
Parlez	请你们说,请您说!(命令式,如果动词是er结尾,去掉er加ez)
Parlons	让我们一起说吧!(命令式,如果动词是er结尾,去掉er加ons)
Tu entres	你进入
nous entrons	我们进入
vous entrez	你们进入
Entrez	请您进!(命令式,如果动词是er结尾,去掉er加ez)
Entrons	让我们一起进入吧!(命令式,如果动词是er结尾,去掉er加ons)
tourner	转弯(原形)
Tu tournes	你转弯
nous tournons	我们转弯
vous tournez	你们转弯
Tourne	请转弯!(命令式,如果动词是er结尾,去掉er加e)
Tournez	请您转弯!(命令式,如果动词是er结尾,去掉er加ez)
Tournons	让我们一起转弯吧!(命令式,如果动词是er结尾,去掉er加ons)
Ne parle pas	不要说(命令式否定式)
Ne tournez pas	不要转弯(命令式否定式)
N'entrez pas	不要进入(命令式否定式)
Va tout droit	你直走(命令式)
Ne va pas au cinéma	不要去看电影(命令式否定式)
Allons tout droit	我们直走(命令式)
N'allons pas au cinéma	不要去看电影(命令式否定式)
Allez tout droit	你们,您直走(命令式)
N'allez pas au cinéma	您不要去看电影(命令式否定式)
Prends le bus	你坐公共汽车(命令式)
Ne prends pas le train	不要坐火车(命令式否定式)
Prenons le bus	我们坐公共汽车(命令式)
Ne prenons pas le train	我们不要坐火车(命令式否定式)
Prenez le bus	你们坐公共汽车(命令式)
Ne prenez pas le train	你们不要坐火车(命令式否定式)
Parle français s'il te plaît	请你说法语(命令式)
Va à la poste	你去邮局(命令式)
Vas-y	你去吧(命令式)(加s接元音)
Donnes-en	给我(命令式)(en代表着一些东西)(加s接元音)
Parles-en	说给我(命令式)(en代表着一些东西)(加s接元音)
Tu as	你有
Aie	请你有!(命令式,不规则)
n'aie pas	不要有!(命令式否定式,不规则)
ayons	让我们一起有吧!(命令式,不规则)
n'ayons pas	让我们不要有!(命令式否定式,不规则)
ayez	请您有!(命令式,不规则)
n'ayez pas	请您不要有!(命令式否定式,不规则)
Tu es	你是
Sois	请你是!(命令式,不规则)
ne sois pas	请你不要是!(命令式否定式,不规则)
soyons	让我们一起是吧!(命令式,不规则)
ne soyons pas	让我们不要是!(命令式否定式,不规则)
soyez	请您是!(命令式,不规则)
ne soyez pas	请您不要是!(命令式否定式,不规则)
Aie de la patience	请你有耐心(命令式)
Ayez du courage	请您有勇气(命令式)
Sois patient	请你是有耐心(命令式)
Soyez courageux	请您是有勇气(命令式)
Tu vas où	你去哪里?(口语); 你去哪儿?
tourner à droite	向右转。; 右转
Entre	请进!(命令式,如果动词是er结尾,去掉er加e); 请进(命令式)
Je vais au Louvre demain	我明天去卢浮宫。
J'y vais à pied	我走路去。(y=au Louvre,上文提到的地方,作副代词)
Elle ouvre le placard et y met la robe	她打开橱柜,把裙子放进去。(y=dans le placard,上文提到的地方,作副代词)
Elle ouvre le placard et met la robe dans le placard	她打开橱柜,把裙子放进橱柜。
Vous habitez en banlieu	你住在郊区吗?
Oui, j'y habite	是的,我住在那里。(y=en banlieu,上文提到的地方,作副代词)
Comment est-ce que tu vas à la poste	你怎么去邮局?(est-ce que是疑问句的标志)
J'y vais en bus	我坐公共汽车去。(y=à la poste,上文提到的地方,作副代词)
Il n'y a pas de métro près de chez moi	我家附近没有地铁。(否定句中,ne...pas位于"y+动词"的两边)
Tu vas au cinéma	你去电影院吗?
Non,je n'y vais pas	不,我不去。(y=au cinéma,上文提到的地方,作副代词)
Bonne année 2025	"2025年新年快乐"
Après vous	您先请
après trois jours	三天以后
on se parlera après	以后再说(on=我们,se parlera=交谈)
J'arrive au parc en bus	我乘公共汽车到公园
banque	银行nf.
Est-ce que tu aimes le français	你喜欢法语吗?
Oui,bien sûr	是的,当然
le bus	公共汽车nm.
continuer	继续v
continuer à faire qch	继续做某事
continuer à parler	继续说话
Un plan direct	直接的adj.=A direct plan
une réponse directe	直接的回答
directe	直接的adj.(f.)
droit	笔直地adv.
jardin	花园nm.
entrer dans le jardin	进入花园
jusque	直到prep.(与介词连用,表示时间或空间的限度)
aller tout droit jusqu'au café	一直走到咖啡馆
jusqu'à	直到prep.(与介词连用,表示时间或空间的限度)
jusqu'aujourd'hui	直到今天
là	那里adv.
ligne	线路nf.
une ligne de métro	一条地铁线路
la ligne quatre de métro	地铁4号线
la ligne 4 de métro	地铁4号线
loin	远adv.
C'est très loin	那很远
Le bureau est loin de chez moi	办公室离我家很远
le métro	地铁nm.
le métropolitain	地铁nm.
l'entrée du métro de Paris	巴黎地铁入口
la moto	摩托车n.f.
musée	博物馆nm.
Le Musée du Louvre	卢浮宫博物馆
