sensuelle	“性感的”(sensual)
Ma note au contrôle de chinois	我的中文考试成绩(My Chinese exam score)
j'ai encore	“我又得了”(I got again)
pendant l'été	“在暑假期间”(during the summer)
devoir passer	“必须参加”(have to take)
examen de rattrapage	“补考”(make-up exam)
Quel est ta date de naissance	“你的出生日期是什么?”(What is your date of birth?)
depuis très longtemps	“很久以来”(for a long time)
loisirs	休闲活动(n.m.pl.)
Est-ce votre activité de loisirs préférée, Pourquoi	“这是您最喜欢的休闲活动吗?为什么?”
passé	“过去时”
t'a appris	“教你(过去式)”(动词 apprendre(教)的复合过去时)
