La bande-annonce	“预告片”
qui sort	“上映的”
du poisson	一些鱼(部分冠词 “du” 是由定冠词 “le” 和介词 “de” 缩合而成,表示不可数名词的部分,不是在强调具体有几条鱼,而是泛指吃了一些鱼肉或者一些鱼的部分); “鱼”
la tête	是“头”(阴性名词); “头顶”
certains croient	“有些人相信”; “有些人相信”; “有些人相信”
pour la santé	“对健康”; “对健康”
encore	还(副词); 副词,此处表示 “还,仍然” =英语的yet; “还”
du foie gras	“鹅肝”
à tous les repas	“在每顿饭”
attends	“等一下?”
Pourquoi si tard	“为什么这么晚?”
mauvaise nouvelle	“坏消息”
Ils n'ont rien dit parce qu'ils ont l'habitude	“他们什么也没说,因为他们习惯了”
Bientôt	“很快”
il y aura une petite fête	“会有一个小派对”
on doit préparer	“我们要准备”
un spectacle	“一个表演”
un spectacle en français	“一个法语表演”
J'étais content	“我很高兴”
une des	“其中之一” - 代词
meilleures	“最好的” - 形容词
le canard laqué	“烤鸭” - 名词
spécialité	“特色菜” - 名词
le nom	“名字” - 名词
un dessert	甜点
le poisson	“鱼” - 名词
servir	“上桌,服务” - 动词
servi	“被上桌” - 动词过去分词
entier	“整条的” - 形容词
symboliser	“象征” - 动词
la prospérité	“繁荣” - 名词
En Chine, le poisson est souvent servi entier pour symboliser la prospérité	“在中国,鱼通常被整条上桌,象征着繁荣。” - VRAI
une boisson	“饮料” - 名词
Le champignon c'est le nom d'une boisson française	“蘑菇是法国一种饮料的名字。” - FAUX
