frapper	敲(动词)
imiter	模仿(动词)
la voix	:“la” 是定冠词,修饰阴性名词 “voix”(声音),“la voix” 即 “声音”。
sauter	跳(动词)
sauter sur	意思是 “扑向......”
Ensuite	:副词,意为 “随后,接着”,用于表示时间顺序,引出接下来发生的事情。
coucher	躺下(动词)
a attendu	:“attendre”(等待)的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“attendu” 是 “attendre” 的过去分词,表明狼 “等待” 小红帽这一动作在过去已经开始并持续。
Un peu après	:固定短语,意为 “过了一会儿”,在句中作时间状语,表明事件发生的时间顺序。
Comme	:连词,引导原因状语从句,意为 “因为,由于” ,说明主句中女孩产生错误认知的原因。
croire	相信(动词)
a cru	:“croire”(相信,认为)的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“cru” 是 “croire” 的过去分词,这里表示小女孩 “认为” 这一动作在过去完成。
avait un rhume	:“avait” 是 “avoir” 的直陈式未完成过去时第三人称单数变位,“un rhume”(感冒),“avait un rhume” 表示 “患感冒” ,在宾语从句中作谓语,描述祖母当时的状态。
d'une voix douce	:“de” 在这里表示方式,“une voix douce” 意为 “温柔的声音”,“d'une voix douce” 整体表示 “用温柔的声音”,作方式状语,说明狼回应时使用的声音特点。
s'est caché	:“se cacher” 是代动词,意为 “躲藏” 。“s'” 是自反代词 “se” 的省音形式,与主语 “le loup” 配合;“est” 是助动词 être 的第三人称单数变位,“caché” 是 “se cacher” 的过去分词,构成代动词的复合过去时,表示狼 “躲藏” 这一动作在过去完成。
couverture	被子(阴性名词)
viens	:动词 “venir”(来)的第二人称单数命令式,意为 “过来”,要求对方来到说话者所在之处。
déshabiller	脱衣服(动词)
Pour fêter	:表示“为了庆祝”,pour 是介词,表示“为了”,fêter 是动词 (庆祝)的原形。
qui vivent à Paris	:表示“住在巴黎的”,qui 是关系代词,vivent 是动词 vivre(生活,居住)的第三人称复数形式,表示“他们生活”。
mettre	:是动词(放置,挂)的原形。
ont mis	:是动词 mettre(放置,挂)的复合过去时形式,使用 avoir 作为助动词,表示“他们放了”。
des lanternes	:表示“灯笼”,des 是不定冠词的复数形式,表示一些,lanternes 是名词的复数形式。
L'année du serpent	蛇年
lapin	兔子(阳性名词)
bœuf	牛(阳性名词)
quartier	街区(阳性名词)
J'habite près du 2e quartier chinois de Paris	我住在巴黎第二个中国区附近。deuxième 是形容词,表示“第二”。
pendant	在...期间; 在......期间
faire	动词,意为“做,制造”;“做;干;进行”
pleuvoir	下雨(动词); 下雨(动词原形)
devoirs	作业(阳性名词)
ses	是 il/elle(他/她)的所有格形容词,表示“他的/她的/它的”。
Ils étaient	是动词 être(是)的 第三人称复数 未完成过去时(imparfait)变位,表示“他们在...”。
la tête	是“头”(阴性名词)
peau	皮肤(阴性)
J'ai la peau douce	我的皮肤很嫩
j'ai acheté une glace	我买了一个冰淇淋
ramasser	捡起(动词)
dedans	在里面(副词)
décorer	装饰(动词原形)
Corée	韩国(阴性名词)
aimerais	是动词 aimer(喜欢)的条件式现在时,表示一种愿望或礼貌语气,翻译为“想”或“希望”。(原形:aimer)
Est-ce qu'il pleut à Shanghai	上海下雨吗?
tempête	意为“暴风雨”;风暴(阴性名词)
exprimer	表达(原形)
poser	提出(原形)
complémentaires	补充的
L'examinateur peut ensuite vous poser des questions complémentaires	考官随后可能会向你提出一些补充性问题
Le printemps	春天(阳性名词)
en général	通常(副词),作状语
agréable	“宜人的、舒适的”(形容词)
peux	能(pouvoir的现在式第一人称单数形式)
Tu peux en acheter à Shanghai	你可以在上海买到。(en:代替前面提到的 “galette des rois” 中的部分内容,作宾语。)
Maman va acheter une galette	妈妈要买一个蛋糕。(“aller + 动词原形” 构成最近将来时,表示即将或打算做某事。)
vu	看见(voir的过去分词)
réalisatrice	导演(女性)
l'argent	钱,资金(名词)
fait peur	吓人(动词 “faire”(做)和名词 “peur”(恐惧)构成动词短语,表示 “吓人” )
hiver	冬天
d'hiver	冬季的(“de” 在这里表示所属关系)
Tu es contente	你高兴吗?
Qu'est-ce que tu vas faire pendant les vacances	你放假时要做什么?
Vous allez aller où	你们要去哪里?
encore	还(副词)
restent	停留,留下;保持(rester的第三人称复数形式)
terminée	结束了(过去分词)(与 “la leçon” 一起构成动词短语,表示 “课程结束了” )
appris	学习(apprendre的过去分词)
Cette année tu apprends le français	今年你在学法语。
La terminale	高三
vivre	生活
vivre un peu en Chine	在中国生活一段时间
mieux	更好(bien的比较级)
connaître	认识(动词)
et je voulais vivre un peu en Chine pour mieux connaître la Chine	我想在中国生活一段时间,以便更好地了解中国。
je suis allé à Shanghaï	我去了上海。
