la farine	特定的面粉
Je prends un kilo de farine	我买一公斤的面粉
un nez	一个鼻子（z不发音）
un noyau	一个种子核
un feu	一个火
Qu'est-ce que vous faites dans la vie	您从事什么工作？Whatdoyoudoinyourlife?
Qu'est-ce que vous prenez	您吃点什么？
Qu'est-ce que vous regardez	您在看什么？
Qu'est-ce que vous dites	您说什么？
semaine	名词，意为“星期、周”;周
cher	(adj.)(m)亲爱的;贵的
chère	(adj.)(m)亲爱的（阴性）;亲爱的；贵的（阴性形式）
achètes	买
veste	夹克，上衣
coûtent	要（第三人称复数形式）
prix	价格，奖
combien	多少；多少钱
coûte	要（第三人称单数形式）
euro	欧元
chaussure	鞋
Je veux une jupe blanche	我想要一条白色的裙子
le prix des jupes	裙子（复数）的价格（“des”在这里是“de”（表示所属关系“的”）和复数定冠词“les”的缩合形式。）
Il y a sept magasins	有七家商店
peux	能，可以
