peux	能(pouvoir的现在式第一人称单数形式)
Tu peux en acheter à Shanghai	你可以在上海买到。(en:代替前面提到的 “galette des rois” 中的部分内容,作宾语。)
Maman va acheter une galette	妈妈要买一个蛋糕。(“aller + 动词原形” 构成最近将来时,表示即将或打算做某事。)
vu	看见(voir的过去分词)
réalisatrice	导演(女性)
l'argent	钱,资金(名词)
fait peur	吓人(动词 “faire”(做)和名词 “peur”(恐惧)构成动词短语,表示 “吓人” )
hiver	冬天
d'hiver	冬季的(“de” 在这里表示所属关系)
Tu es contente	你高兴吗?
Qu'est-ce que tu vas faire pendant les vacances	你放假时要做什么?
Vous allez aller où	你们要去哪里?
encore	还(副词)
restent	停留,留下;保持(rester的第三人称复数形式)
terminée	结束了(过去分词)(与 “la leçon” 一起构成动词短语,表示 “课程结束了” )
appris	学习(apprendre的过去分词)
Cette année tu apprends le français	今年你在学法语。
dis	告诉(dire的现在式第二人称单数形式)
allée	去(aller的过去分词,女性)
Je suis allée	我去了(aller的过去分词,女性)
fois	次(复数)(名词)(f)
sais	知道(savoir的现在式第二人称单数形式)
Tu sais pourquoi	你知道为什么吗?
on mange	人们吃(第三人称单数)
qui s'appelle la galette des rois	关系从句,用来修饰先行词 “gâteau”。“qui” 是关系代词,在从句中作主语,指代前面的 “gâteau”
galette	蛋糕(通常指一种扁平的饼状食物)
déjà	已经
mangé	吃(manger的过去分词)(与 “as” 一起构成复合过去时,表示 “吃过” 。)
Tu as déjà mangé	你已经吃过(“avoir déjà + 过去分词” 构成复合过去时的一种形式,“déjà” 表示 “已经” )
La terminale	高三
vivre	生活
vivre un peu en Chine	在中国生活一段时间
mieux	更好(bien的比较级)
connaître	认识(动词)
et je voulais vivre un peu en Chine pour mieux connaître la Chine	我想在中国生活一段时间,以便更好地了解中国。
je suis allé à Shanghaï	我去了上海。
l'assistant	助理,助手,副手
directeur	经理n.阳性形式
au-dessous	在下面,通常表示某物在另一物的正下方。
au-dessus	“在上面”;...以上
Ayez du courage	请您有勇气（命令式）
J'y vais à pied	我走路去。(y=au Louvre,上文提到的地方，作副代词)
Vous habitez en banlieu	你住在郊区吗？
on se parlera après	以后再说（on=我们,se parlera=交谈）
