La terminale	高三
vivre	生活
vivre un peu en Chine	在中国生活一段时间
mieux	更好(bien的比较级)
connaître	认识(动词)
et je voulais vivre un peu en Chine pour mieux connaître la Chine	我想在中国生活一段时间,以便更好地了解中国。
je suis allé à Shanghaï	我去了上海。
l'assistant	助理,助手,副手
directeur	经理n.阳性形式
au-dessous	在下面,通常表示某物在另一物的正下方。
au-dessus	“在上面”;...以上
l'impératif	命令式
Fais comme moi	跟我一样做(命令式)
Suivez-moi	跟我来(命令式)
tourner	转弯(原形)
Ne tournez pas	不要转弯(命令式否定式)
Vas-y	你去吧（命令式）（加s接元音）
Donnes-en	给我（命令式）(en代表着一些东西)（加s接元音）
Parles-en	说给我（命令式）(en代表着一些东西)（加s接元音）
