contemporaine	当代的(adj.)(f.)
gratuite	免费的(adj.)(f.)
hôtel de ville	市政厅;市政府大楼(n.m.)
institut	学院(n.m.)机构
quai	站台;堤岸(n.m.)
SNCF	法国国家铁路公司(全称:Société Nationale des Chemins de Fer Français)
Les Français pensent que le vin blanc est le meilleur accompagnement pour les fruits de mer	“法国人认为白葡萄酒是海鲜的最佳搭配。”
manger des escargots	“吃蜗牛”
apporte de la chance	“可以带来好运”
la fête de la mi-automne	“中秋节”
est associée	“与......相关联”
doit être	“应该”
croustillant à l'extérieur	“外皮酥脆”
et moelleux à l'intérieur	“内部柔软”
peut attirer l'amour	“可以吸引爱情”
En Chine, il est normal de faire du bruit avec sa bouche en mangeant	“在中国,吃饭时发出声响是正常的。”
resto	餐馆n.m.=restaurant
