un tirage	彩票开奖=a draw
une seule personne	只有一人=only one person
partager	分享、平分(原形动词)=to share
autant d'argent	固定短语(“autant de” 表 “如此多的、同样多的”,指代前文提到的 “2.5 亿欧元”;“argent” 此处特指 “中奖奖金“)=so much money
ferais	实义动词 “faire”(做、干)的未完成过去时虚拟式(主语为 “tu” 时的变位)=would do
créer	创立、创建、建立(原形动词)=to create
lutter contre	与...... 作斗争、对抗(原形动词短语)=to fight against
la civilisation	文明、文化(阴性名词)=civilization
environ	副词(表概数,相当于 “大约、大概”)=英语 approximately
se mettent	变得 / 进入(...... 状态)反身动词短语 “se mettre”(原形)的直陈式现在时,主语为 “des gens”(第三人称复数)时的变位
des gros mots	粗话 / 脏话=英语 swear words / curse words
une tasse	“杯子”  = a cup
Valeur Sentimentale	“片名《情感价值》。”
C'est un film norvégien	“这是一部挪威电影。”(Norway)
Norvège	“挪威”=Norway
d'une trentaine d'année	介词短语,用来修饰 “femme”, 表示 “三十多岁”=about thirty years old
l'Euromillion	欧洲百万(彩票名)
une loterie	“彩票、抽奖”=a lottery
ibuprofène	布洛芬
un lien	联系;关联=a link
tes règles	月经(阴性复数名词)=your period
certaines femmes	有些女性(“certaines” 是形容词 “certain” 的阴性复数形式)
lorsque	“当...... 时”
m'arrive	发生在我身上(“arriver à qn” 表示 “发生在某人身上”,“m'” 是 “me” 的缩写,“arrive” 是动词第三人称单数现在时)
je te raconte	我跟你说
j'avais raison	我是对的(“avoir raison” 是固定搭配,意为 “正确、对的”,“j'avais” 是 “avoir” 的第一人称单数未完成过去时)
poli	形容词,意为 “有礼貌的”,其否定形式通过 “mal” 体现,即 “不礼貌的”=impolite
vous ai dit	跟您说过
meurtrier	凶手(阳性名词)
encore une fois	“又一次、再一次”=英语的 "once again"
bêtes	愚蠢的,笨的(阴性复数形式); 动物,牲口(阴性名词复数,此处可理解为 “小虫、小动物”)
une bête	一个动物=un animal
seul	为形容词 “唯一的、仅有的”,补充说明 “只喝一杯”)
vendre	卖,出售
réchauffement	“变暖”=英语的 "warming"
climatique	“气候的”=英语的 "climatic"
