sensuelle	“性感的”(sensual)
Ma note au contrôle de chinois	我的中文考试成绩(My Chinese exam score)
j'ai encore	“我又得了”(I got again)
pendant l'été	“在暑假期间”(during the summer)
devoir passer	“必须参加”(have to take)
examen de rattrapage	“补考”(make-up exam)
Quel est ta date de naissance	“你的出生日期是什么?”(What is your date of birth?)
depuis très longtemps	“很久以来”(for a long time)
loisirs	休闲活动(n.m.pl.)
Est-ce votre activité de loisirs préférée, Pourquoi	“这是您最喜欢的休闲活动吗?为什么?”
passé	“过去时”
t'a appris	“教你(过去式)”(动词 apprendre(教)的复合过去时)
ainsi de suite	等等(and so on)
Avoir besoin de	“需要”(need)
un ophtalmologiste	眼科医生(eye doctor)
une ordonnance	处方,方药(prescription)
drôle	“有趣的”(funny)
Cochon	猪(pig)
à la maternelle	幼儿园(kindergarten)
un moyen de	一种...的方法
le tramway	“有轨电车”
un ingrédient	“一种食材”
citer	引用
Ma recette préférée	“我最喜欢的食谱”
quelle occasion	什么场合(what occasion)
contexte	背景(context)
L'événement de l'année	“年度事件”(the event of the year)
apprécier	欣赏(appreciate)
assez	足够地adv.
falloir	原形(必须,需要)
kilo	千克n.m.
livre	磅n.f.半公斤
Ils sont sages	“他们表现得好吗?”
Je regarde quels films vont être à Cannes	“我在看哪些电影将在戛纳放映。”
sera	“将会”“être(是、在)” 的简单将来时第三人称单数
depuis	介词,意为 “从......起”
leur anniversaire de mariage	“他们的结婚纪念日”
fêtent	“庆祝”,法语动词 “fêter” 的直陈式现在时第三人称复数
pratique	“方便的”=英语“convenient”
