sont souvent mangés	“经常被食用”
Les escargots sont souvent mangés en Chine	“蜗牛在中国经常被食用” - FAUX
La baguette magique	“魔法棒”
le plus grand consommateur	“最大的消费国”
en volume	“按体积”-Vrai
en vin rouge consommé par habitant	“人均红葡萄酒消费量”-Faux
une porcherie	“猪圈(猪居住的地方)”
dix fois plus de	“十倍的......”
que de	“比......”
Il y a dix fois plus de porcs en Chine que de Chinois	“中国的猪的数量是中国人数量的十倍” - FAUX
est souvent servie	“通常被上桌”
à la fin des repas chinois	“在中国餐的最后”
pour aider à la digestion	“以帮助消化”
au début	“在开始时”
La consommation	“消费,食用”
feminine form of courant	“courant的阴性形式”
courante	“常见的”(形容词, feminine form of courant)
grossir	“变胖”-动词
des grenouilles	“青蛙”
contiennent	“含有”(contenir 的第三人称复数现在时)
Tous les plats chinois contiennent du poisson	“所有中国菜都含有鱼” - FAUX
Tous les Chinois mangent tous les jours du tofu	“所有中国人都每天吃豆腐” - FAUX
jamais	“从未” - 副词
du vin	“葡萄酒” - 名词(du“一些” - 缩合冠词(de + le))
au boeuf	“牛肉的”
On mange du pain et de la confiture	“人们吃面包和果酱”
épicé	辣的
est réputée	“以......闻名”
sa variété	“其种类”
La France est réputée pour sa variété de fromages	“法国以其丰富的奶酪种类而闻名” - VRAI
longue tradition	“悠久的传统”
de cuisine	“烹饪的”
à la vapeur	“用蒸汽”
La Chine a une longue tradition de cuisine à la vapeur	“中国有一个悠久的蒸菜传统” - VRAI
Les escargots	“蜗牛”
