journaux	报纸
génial	棒,很棒的,十分好
non-fumeur	无烟的
mot de passe	密码
prendre une douche	洗淋浴
propre	干净的,净
réserver	预订
serviette	毛巾,餐巾,巾
clé	钥匙
bain	洗澡,沐浴
neige	雪,下雪
vent	风
nuage	云
dehors	外面
quart	一刻,刻
coucher	卧,上床睡觉
Le palais impérial	故宫
sévère	严格; 严厉的(形容词); 严格
croire	相信(动词); 意为“相信”。; 相信。
encore	还(副词); 副词,此处表示 “还,仍然” =英语的yet; 副词,意为 “还,仍然;再,又;更,更加”,在这里表示 “还”,用于修饰动词 “appris”,说明动作 “学习” 的状态还未完成。
chez toi, qui est fort en informatique	你家里谁擅长计算机?
cauchemars	“cauchemar(噩梦)” 的复数形式
cochon	名词,“猪”,阳性。
tellement	副词,意为 “如此,这样;很,非常;那么些,这么些” ,在本句中表示程度,
Dans la salle il n'y avait que des	华裔 在电影院里只有华裔。
Les immortels	不朽者。
une randonnée	徒步旅行;远足;散步” 的意思,阴性。
Traduction	翻译
serais	动词 “être(是)” 的条件式现在时第二人称单数形式
plaisir	愉快,高兴;乐趣(名词)
faire plaisir	让...开心
Liste de vocabulaire	词汇表
cru	生的,未煮熟的”,阳性单数形式
de la sardine	沙丁鱼。
anguille	鳗鱼
crevette	虾
coquille Saint-Jacques	扇贝	shànbèi
elles sont sales	她们脏了
propres	干净的
nettoyer	清洁;打扫;擦拭
j'ai utilisé	"comme d'habitude" 我用了“像往常一样”这个表达
Ah Lisa, qu'est-ce que je vais faire de toi	啊,丽莎,我该拿你怎么办呢?
colères	形容词,“生气的,发怒的”
disait	动词 “dire(说)” 的未完成过去时第三人称单数(il、elle、on)形式
scolaire	学校的
au lieu de	代替=instead of
