Ayez du courage	请您有勇气（命令式）
J'y vais à pied	我走路去。(y=au Louvre,上文提到的地方，作副代词)
Vous habitez en banlieu	你住在郊区吗？
on se parlera après	以后再说（on=我们,se parlera=交谈）
l'impératif	命令式
Fais comme moi	跟我一样做(命令式)
Suivez-moi	跟我来(命令式)
tourner	转弯(原形)
Ne tournez pas	不要转弯(命令式否定式)
Vas-y	你去吧（命令式）（加s接元音）
Donnes-en	给我（命令式）(en代表着一些东西)（加s接元音）
Parles-en	说给我（命令式）(en代表着一些东西)（加s接元音）
une salle vide	空旷的房间n.f.
troisième	第三的adj.num.ord.
cette année	今年(阴性名词前用cette)
ce livre-ci	这本书(阳性名词前用ce, ci表示“这个”)
cette table-là	那张桌子(阴性名词前用cette, là表示“那个”)
ces romans-ci	这些小说(复数名词前用ces, ci表示“这些”)
fraise	草莓
boit	喝，喝得
confiture	果酱
du sucre	糖
brioche	奶油圆蛋糕
Tu aimes les fraises	你喜欢草莓吗？
Je prends des céréales	我吃谷物食品。
Je bois de l'eau	我喝水
Vous travaillez chez vous	你们在家工作。
Tu viens avec moi	你和我一起来。
Tu vas où maintenant	你现在去哪里？(口语）
A la bibliothèque	去图书馆。
agence	代理处，代办处n.f.
belge	比利时的adj.;比利时人n.Belge（首字母大写）
rendez-vous	约会，预约n.m.
assiette	盘子n.f.
Il parle français avec un accent anglais	他说法语带有英语口音
cuillère	勺，匙n.f.
vol	航班，班机
de rien	没关系，这没什么，没事
beurre	黄油
miel	蜂蜜
céréales	谷物食品
le coin	角落，街角n.m
écrivain	“作家；作者n.m.
sculptrice	女雕塑家
Trop de lait	太多牛奶
Il y a un peu de sucre dans le placard	橱柜里有一点糖
Vous devez rentrer très tôt	你们应该非常早回。
horloge	时钟;“时钟”“钟表”
Tu sors	你出去吗？
tard	晚，晚点;晚，迟
Je voudrais un verre de lait	我想要一杯牛奶。
Tu sors de chez Paul	你从保罗家出来吗？;你从Paul家出去吗？
