elle	她
je	我
un	一
joli	漂亮的
un chat	一只猫
son fils	他、她的儿子
sa fille	他她的女儿
fils	儿子
bébé	宝宝
mange	吃
fromage	奶酪
aime	喜欢
deux	二
ton chien	你的狗
chien	狗
et	和
café	咖啡
ou	还是
thé	茶
nouveau	新的
livre	书
bon	好的
chocolat	巧克力
je suis une femme	我是一个女人
c'est un chat	这是一只猫
tu manges une pizza	你吃一个披萨
une orange	一个橙子（阴性）
un homme	一个男人(阳性）
une femme	一个女人(阴性）
un chien	一条狗(阳性）
une pizza	一个披萨（阴性）
une femme et un homme	一个女人和一个男人
tu es une fille	你是一个女孩
mon père	我的父亲（加阳性名词）
ma mère	我的母亲（加阴性名词）
ton frère	你的兄弟
ta sœur	你的姐妹
gâteau	蛋糕
garçon	男孩
girafe	长颈鹿
tu es marc	你是Marc吗？
paul mange un croissant	"Paul吃一个牛角面包"
un croissant	一个牛角面包（阳性）
je suis une fille	我是女孩
salut paul	你好，Paul
comment çava	怎么样？
ca va bien merci	很好，谢谢
bienvenue marie	欢迎你，Marie
bonjour marie enchanté	你好Marie，很高兴认识你
au revoir	再见
tu es francais	你是法国人吗？
ju suis chinois	我是中国人
elle est coréenne	她是韩国人;她是韩国人（阴性）
il est en france	他在法国吗？
il est chinois	他是中国人（国籍用形容词，阳性）
elle est chinoise	她是中国人（阴性形容词以e结尾）
il est coréen	他是韩国人（阳性）
marie est francaise	"Marie是法国人"
un livre francais	一本法国书
c'est une fille anglaise	这是一个英国女孩
un bébé francais	一个法国宝宝
un chocolat chinois	一块中国巧克力
une boutique espagnole	一家西班牙商店
excuse-moi	对不起
tu parles	你说（s不发音）
il parle	他说
elle parle	她说
je suis professeur	我是老师
elle est étudiante	她是大学生（阴性）
elle est journaliste	她是记者（有些职业不随着性别而变化）
je travaille en angleterre	我在英国工作（后面是国家，用en）
a bientot	回头见àbientôt
bonne soirée	祝你晚上愉快
très	非常
bonne nuit	晚安
ju suis en chine	我在中国
elle parle espagnol	她说西班牙语
un thé anglais	一杯英国茶
c'est une boutique francaise	这是一家法国商店
une fête francaise	一个法国节日（形容词放在名词后面）
je parle francais et anglais	我说法语和英语
marc est anglais	"Marc是英国人"
elle s'appelle alice	她叫Alice
comment tu t'appelles	你叫什么？
je m'appelle marie	我叫Marie
tu parles francais	你说法语吗？
il est francais	他是法国人
je parle	我说
tu habites a paris	你住在巴黎吗？
j'étudie a bordeaux	我在波尔多（法国西南部的一座城市）学习
tu habites a berlin	你住在柏林（德国的首都）吗？
je travaille ici	我在这里工作
julia est étudiante	"Julia是大学生"
je suis en europe	我在欧洲
il est étudiant	他是大学生（阳性）
il est journaliste	他是记者（有些职业不随着性别而变化）
londres	伦敦
je travaille à londres	我在伦敦工作（后面是城市，用à）
angleterre	英国
j'habite à paris	我住在巴黎（不发音的h前面的短词，经常和后面的单词合并缩写）
