elle	她
je	我
un	一
joli	漂亮的
un chat	一只猫
mon père	我的父亲（加阳性名词）
ma mère	我的母亲（加阴性名词）
ton frère	你的兄弟
ta sœur	你的姐妹
fils	儿子
bébé	宝宝
mange	吃
fromage	奶酪
aime	喜欢
deux	二
ton chien	你的狗
chien	狗
et	和
café	咖啡
ou	还是
thé	茶
nouveau	新的
livre	书
bon	好的
garçon	男孩
girafe	长颈鹿
chocolat	巧克力
je suis une femme	我是一个女人
tu es marc	你是Marc吗？
c'est un chat	这是一只猫
paul mange un croissant	"Paul吃一个牛角面包"
une orange	一个橙子（阴性）
un homme	一个男人(阳性）
une femme	一个女人(阴性）
un chien	一条狗(阳性）
un croissant	一个牛角面包（阳性）
une pizza	一个披萨（阴性）
je suis une fille	我是女孩
une femme et un homme	一个女人和一个男人
tu es une fille	你是一个女孩
salut paul	你好，Paul
comment çava	怎么样？
ca va bien merci	很好，谢谢
son fils	他、她的儿子
sa fille	他她的女儿
gâteau	蛋糕
tu manges une pizza	你吃一个披萨
bienvenue marie	欢迎你，Marie
bonjour marie enchanté	你好Marie，很高兴认识你
au revoir	再见
très	非常
tu es francais	你是法国人吗？
elle est chinoise	她是中国人（阴性形容词以e结尾）
marie est francaise	"Marie是法国人"
a bientot	回头见àbientôt
bonne soirée	祝你晚上愉快
bonne nuit	晚安
je suis chinois	我是中国人
elle est coréenne	她是韩国人;她是韩国人（阴性）
je suis en chine	我在中国
il est en france	他在法国吗？
elle parle espagnol	她说西班牙语
il est chinois	他是中国人（国籍用形容词，阳性）
il est coréen	他是韩国人（阳性）
un livre francais	一本法国书
un thé anglais	一杯英国茶
c'est une fille anglaise	这是一个英国女孩
un bébé francais	一个法国宝宝
marc est anglais	"Marc是英国人"
il est francais	他是法国人
c'est une boutique francaise	这是一家法国商店
une fête francaise	一个法国节日（形容词放在名词后面）
un chocolat chinois	一块中国巧克力
une boutique espagnole	一家西班牙商店
je parle francais et anglais	我说法语和英语
elle s'appelle alice	她叫Alice
comment tu t'appelles	你叫什么？
je m'appelle marie	我叫Marie
excuse-moi	对不起
tu parles francais	你说法语吗？
