literate	(adj.) 能读会写的
reptile	(n.) 爬行动物 ，爬虫
composer	(n.) 作曲家
failure	(n.) 失败；失败者
overview	(n.) 综述 ，概观
autonomy	(n.) 自主权
realism	(n.) 现实主义
purify	(v.) 使纯净 ，净化
evidence	(n.) 证据 ，证明；   v. 证明
territory	(n.) 领域；范围
vivid	"adj. 生动的 ，清晰的（ 记 忆 、描述）"
variation	(n.) 差异；  [生物] 变异 ，变种
philosophy	"n. 生活信条（或态度）   ；哲 学 ，哲学体系"
fragile	"adj. 易碎的；易损坏的；虚 弱的；脆弱的"
justify	"v. 证明 … …正确或有理；使 (文本) 对齐"
renowned	(adj.) 著名的
ink	(n.) 墨水 ，油墨
immigration	(n.) 移民
sink	"v. 下沉 ，下降 ，沉入；   n. 水槽 ，洗碗池"
tyre	(n.) 轮胎 ，车胎
vegetarian	(adj.) 素食的
convince	(v.) 使信服
tissue	"n.   （人 、动植物细胞的）组 织"
firm	(n.) 公司；   adj. 坚定的
truck	(n.) 卡车
sailing	(n.) （乘帆船）航行
industry	(n.) 行业
garage	(n.) 车库
session	"n. 会议；一场；一段时间的 （ 活动）"
despite	(prep.) 尽管 ，不顾
colleague	(n.) 同事
file	(n.) 文件
rescue	(n.) 救援；   v. 挽救
beginner	(n.) 初学者
clinic	(n.) 诊所，  门诊部
comment	"n. 评论；   v. 评论 ，表达意 见"
strike	"v. 击打；使产生 … …想法； 达成 ，达到"
text	(n.) 文稿 ，文本 ，文章
steep	(adj.) 急剧的
crew	"n.   （有专门技术的）一组工 作人员，（ 飞机 、轮船等 …"
questionnaire	(n.) 调查表，  问卷
access	"n.   （使用或见到的）机会， 权利；接触；通道；访问 …"
reward	"n. 回报；报酬；   vt. 奖励， 奖赏"
folk	(n.) 民众；  民间音乐
politics	(n.) 政治 ，政治事务
research	"n. 研究 ，调查；   v. 研究， 调查"
frequent	"adj. 时常的 ，频繁的（读 作/ˈfrikwənt/）"
perfume	(n.) 香水
part-time	(adj.) 兼职的
