satisfied	满足的，满意的adj
sauce	酱汁；调味汁【U，C】
schedule	安排；预定；为。。。安排时间v；时间表；节目表；工作计划【C】
score	得分；分数【C】
seaside	海滨【C】
secondary	中等的；第二的adj
secondary school	中学
secretary	秘书n【C】
secretaries	秘书【复数】
section	部分；部门；栏目【C】
see	看见，看到；领会，理解；拜访，会见vt（saw，seen）
seed	种子【C】
seem	似乎，好像vi
seem to	看上去好像做了某事
select	选择，挑选，选拔vt
senior	年长的；高年级的；高级的adj
serve	招待（顾客等）；为。。。服务vt == work for
service	服务；公用事业n【C】
ride	骑（马、自行车等）vt vi（rode，ridden）；骑车旅行【C】
rode	骑【过去式】
right	对；正确的；恰当的；右边的adj；正确地；恰恰；向右，在右边adv；右；权利【U，C】
rise	上升；上涨；起立vi（rose，risen）
rose	过去式rise；rose玫瑰花【C】
risen	过去分词rise
roast	烤（肉）vt
rocket	火箭【C】
room	空间；地方；房间，室【U，C】
root	根；根源；起源【C】
row	一排，一行【C】
rule	规则；规定【C】；统治vt
rush	冲，奔跑vi
safe	安全的；平安的adj；保险柜【C】
sale	卖，出售【C】
present	礼物；赠品【C】现在（仅用单数）；出现的，出席的adj
president	总统；主席【C】
press	压，按vt
pretend	假装，装作vt
prevent	预防；防止；阻止，阻挡vt
price	价格【U】
primary	初等的；初级的adj
print	打印，印刷vt
prison	监狱【U，C】
prisoner	犯人
private	私人的；私有的adj = personal
prize	奖赏，奖品【C】
process	处理；加工vt；过程【C】
produce	生产；产生；制造vt
professional	专业的，职业的adj；专业人员；职业运动员【C】 --反义：unprofessional 不专业的
programme	（美program）节目；项目；计划；（计算机）程序【C】；编写程序；为。。。制定计划v
project	工程；课程；作业；项目；规划【C】
the Channel Tunnel project	海底隧道工程
pronounce	发音vt
pronunciation	发音n
properly	恰当地，合适地adv = correctly
prove	证明vt --proof证明n
oven	炉子，烤箱【C】
more than	超过 = over
own	自己的adj；拥有vt
pack	包【C】；打包【vt】
pain	疼痛【U，C】
oil paints	油画颜料
the Palace Museum	故宫
the Summer Palace	颐和园
pale	苍白的，灰白的adj
park	公园【C】停放（车辆等）【vt】
party	聚会，晚会；政党；党派【C】复数：parties
passenger	乘客，旅客【C】
patient	病人【C】；耐心的adj
patience	耐心n
pay	付钱，给。。。报酬vt，vi（paid）；工资【U】
novel	小说【C】
now that	既然，由于，=since
now and then	偶尔，有时=again
from then on	从那时起
right now	立刻
nowadays	当今，现在adv
nowhere	任何地方都不adv
observe	观察；观测vt
occupation	职业【C】
ocean	海洋【C】
put off	延期
official	官方的，政府的，官员的adj
old	年老的；古老的；就的adj（older，oldest或elder，eldest）
onto	到。。。上面
ordinary	普通的，平常的adj=common、usual
rough	粗糙的，不平的；粗暴的，猛烈的；多暴力的；粗暴地（非正式）Cathy did a rough calculation.
direction	［U,C］ 方向；趋势；用法说明n.
direct	直接的adj. ；V.指导；管理
director	导演n.
go out of sight	消失，不见，相当于disappear
disappointed	失望的，沮丧的（形容词）
disaster	灾难；灾祸【U,C】
distance	距离【U，C】
disturb	扰乱，打扰（及物）
divide	分，划分；除（算数用语）
eager	渴望的，热切的【形容词】
earthquake	地震【C】
economy	经济【U，C】
effort	精力，努力【U，C】
elementary	初级的；基本的
emergency	紧急情况；突发事件【U，C】
emergencies	紧急情况（复数）
encourage	鼓励vt
encourage somebody to do something	鼓励某人做某事
at the end of last week	在上周末（一般过去式时间状语）
by the end of last week	到上周末为止（过去完成时时间状语）
enemies	敌人（enemy的复数）
engine	引擎，发动机【C】-- Engineer工程师
entertainment	娱乐；消遣；款待【U，C】
envelope	信封【C】
event	事件，大事；比赛项目【C】
excuse	原谅；宽恕vt；借口；辩解【C】
exhibition	展览；展览会【C】
exit	出口，通道【C】离别；退出Vi
exist	存在vi（不及物动词，一般不可以用进行时）
experience	经验，经历【U，C】
increase	增加n vt vi
industries	工业产业的复数
influence in	干涉，介入
instruction	指令，命令，指示，教导；用法说明【C】
inventor	发明家【C】 --invent
investigate	调查vt
traffic jams	交通堵塞
journalist	记者，新闻工作者【C】
judge	裁判；审判员；法官n；审判；断定vt
just now	刚才
just then	就在那时
keep a dog	养一只狗=raise a dog
kid	开玩笑vi（kidded）；小孩【C】
knock	敲门，打，击【U】vi
Knock at the door	敲门
in the lake	在湖中
lantern	灯笼【C】
lecturer	演讲者，讲师 --lecture【C】讲座，演讲
librarian	图书管理员【C】 --library图书馆，图书室
lie	谎言；说谎v，【C】（lied，lied）；躺；卧；位于vi（lay，lain）
lives	生命的复数
lift	举起vt；电梯【C】--elevator
litter	废物，垃圾【U】乱丢杂物vt vi
locate	坐落于；确定。。。的地方vt --location
