harvest (v.)收割;n. 收获
embassy(n.)大使馆，大使馆全体人员
decade(n.)十年，一个年代
volcanic(adj.)火山的
destination(n.)目的地
endeavor"n.尝试 ，努力 ，尽力;v.努力 ，尽力”
palm(n.)棕榈树
ecological(adj.)生态的 ，生态学的
explode(vi.)爆炸
barber(n.)理发师;理发店
efficiency(n.)效率
obvious"adj.明显的，显而易见的;了无新意的;平
淡无奇的 …"
valuable(adi.)贵重的，有价值的
enquire(v.)询问，打听
entertaining(adj.)有趣的，令人愉快的
dustbin(n.)垃圾箱
budget(n.)预算;v.预算 ，安排
upload (v.)上传;上载;n.上传
economical(adj.)节约的;经济的
saving(n.)节省，节约;储蓄;(复数)储蓄金，存款;节省...
edition(n.)版，版本，版次
dust (n.)尘士，沙土
powder(n.)粉末;火药;细雪;v.抹粉;洒粉于，使变成粉
drawback(n.)缺点
dread"v.惧怕，害怕;n.畏惧，恐惧;adi.恐怖的使…"
access"n.(使用或见到的)机会，权利;接触，通道;访问…"
bond	"n. 纽带 ，联系；v. 增强关系"
diet	(n.) 饮食
Egyptian	(n.) 埃及人
elder	(adj.) 年长的；n. 长辈
elect	(v.) 选举 ，推选；选择
electrical	(adj.) 电的
draft	(n.) 草稿
elevator	(n.) 电梯
gymnasium	(n.) 体育馆 ，健身房
harvest	(v.) 收割；n. 收获
embassy	(n.) 大使馆；大使馆全体人员
decade	(n.) 十年 ，一个年代
volcanic	(adj.) 火山的
volcano	(n.) 火山
contain	(v.) 包含 ，容纳
destination	(n.) 目的地
endeavor	"n. 尝试 ，努力 ，尽力；v.努力 ，尽力"
palm	(n.) 棕榈树
ecological	(adj.) 生态的 ，生态学的
explode	(vi.) 爆炸
curiosity	(n.) 好奇心
incuriosity	(n.) 无好奇心；无关心
dusk	(n.) 黄昏 ，傍晚
barber	(n.) 理发师；理发店
resource	(n.) 资源
efficiency	(n.) 效率
inefficiency	(n.) 无效率；无能
truck	(n.) 卡车
trunk	"n. 树干；象鼻； （人）躯干；大衣箱；主体； （车 …"
presentation	(n.) 报告；演讲 ，演示；  陈述
ambiguous	(adj.) 含糊不清的
obvious	"adj. 明显的 ，显而易见的；了无新意的；平淡无奇的 …"
drunk	(adj.) 喝醉了的
valuable	(adj.) 贵重的 ，有价值的
enquire	(v.) 询问 ，打听
endurance	(n.) 忍耐力 ，耐性 ，耐用度
fog	(n.) 雾 ，烟雾 ，尘雾
appointment	(n.) 预约
entertaining	(adj.) 有趣的 ，令人愉快的
break off	"phr. 折断 ，掰掉；突然停止 ，暂停，  中断"
dustbin	(n.) 垃圾箱
freeway	(n.) （美）  高速公路
highway	"n. 公路；城际干道；公用通道；大路； （水陆空）航 …"
budget	(n.) 预算；v. 预算 ，安排
download	(v.) 下载
upload	(v.) 上传；上载； n. 上传
gallery	(n.) 美术馆，画廊
urge	(v.) 敦促，督促
economical	(adj.) 节约的；经济的
saving	(n.) 节省，节约；储蓄；（复数）储蓄金，存款；节省…
edition	(n.) 版，版本，版次
version	(n.) 版本；说法；（某人对于某件事不同于其他人的）…
dust	(n.) 尘土，沙土
powder	(n.) 粉末；火药；细雪； v.抹粉；洒粉于，使变成粉
drawback	(n.) 缺点
ease	(n.) 轻松； v. 缓解
tablet	(n.) 平板电脑
dread	"v. 惧怕，  害怕；n. 畏惧，恐惧；adj. 恐怖的 ，使 …"
droop	(v.) 低垂 ，凋萎 ，萎靡
fade	"vi. 褪色 ，褪去；失去；逐渐消失； vt. 使褪色； v. …"
adequately	(adv.) 充分地
drown	(v.) 淹没
access	"n.（使用或见到的）机会，权利；接触；通道；访问 …"
sufficient	"adj. 足够的 ，充足的；充分的"
disguise	(v.) 伪装
stockings	(n.) 长袜
retire	(v.) 退休
botany	"n. 植物学；（总称）一个地区的植物"
utilize	(v.) 利用；使用；运用
prize	(n.) 奖品 ，奖赏
award	"n. 奖品；奖学金；判决；奖赏；奖 ，奖章；vt. 奖励 …"
disposal	(n.) 销毁 ，丢掉 ，处理
position	"n. 职位；位置；地位；姿势；v. 安置"
represent	(v.) 代表；描述 ，展现
dismay	(n.) 失望 ，沮丧；   v. 使惊恐
frustration	"n. 挫败；沮丧 ，不满；【财】  受挫； 【法】  合同 …"
violet	"n. 紫罗兰；紫罗兰色；   adj.紫色的 ，紫罗兰色的"
predict	(v.) 预言 ，预告 ，预测
forecast	"n. 预报；预言；预测；   v.预报；预测"
seek	(v.) 寻求；寻找
sunset	(n.) 日落； adj. 霞红色的
private	(adj.) 私人的
spirit	(n.) 精神，心灵；情绪
profit	(n.) 利润，盈利
wise	(adj.) 有智慧的，博学的
distinct	(adj.) 独特的
desire	(n.) 渴望；欲望；愿望；要求；情欲； vi. 有希望，…
aural	(adj.) 听觉的；耳的；先兆的
manner	(n.) 方式，方法；态度，礼仪
drug	(n.) 药物；毒品
peace	(n.) 和平；和睦；平静
marital	(adj.) 婚姻的
disagreement	(n.) 分歧 ，不和
notice	"v. 注意；n. 告示 ，通知；注意"
remove	(vt.) 移开；去除
get rid of	(v.) 摆脱；  除去
countryside	(n.) 乡村 ，郊野
extinction	(n.) 灭绝；熄灭；消失
pack	"v. 收拾 ，打包；塞满 ，挤满；   n. 群；行李"
dye	(v.) 染 ，染色
supposing that	(conj.) 假如
moth	(n.) 蛾
discount	"n. 折扣（读作/ˈdɪsˌkaunt/）；（价格 、债 …"
assist	"v. 帮助；协助；促进；   n.帮助；助攻"
discrimination	(n.) 歧视
prejudice	"n. 偏见 ，成见；损害 ，侵害； 【法】  对合法权益损 …"
recipe	(n.) 食谱
pity	(n.) 遗憾 ，可惜
regret	"n. 懊悔；遗憾；歉意；   v.对 … …感到后悔；抱歉；  …"
journalist	(n. 新闻记者；新闻工作者
cooperative	(adj. 合作的；   n. 合作社
excitement	(n. 兴奋
intolerant	(adj. 不能容忍的；偏执的
dip	(vt. 浸 ，蘸；   n. 倾斜 ，下降
dignity	（n. 尊严；威严；端庄
applaud	（v. 鼓掌；  喝彩；  向 …鼓掌表示赞赏；给 … …捧场；称赞"
sincerely	（adv. 真诚地
pleasure	（n. 愉快 ，乐事；荣幸；高兴 ，乐意"
demanding	（adj. 要求高的
