gabriel est espagnol	"Gabriel是Spanish."
sarah est espagnole	"Sarah是Spanish."
il est americain	"He是American."
elle est americaine	"She是American."
Je suis une femme	我是一个女人
Tu es Marc	你是Marc吗？
C'est un chat	这是一只猫
Tu manges une pizza	你吃一个披萨
Paul mange un croissant	"Paul吃一个牛角面包"
une orange	一个橙子;一个橙子（阴性）
un homme	一个男人(阳性）
une femme	一个女人(阴性）
un chien	一条狗(阳性）
un croissant	一个牛角面包（阳性）
une pizza	一个披萨（阴性）
Je suis une fille	我是女孩
une femme et un homme	一个女人和一个男人
Tu es une fille	你是一个女孩
Salut Paul	你好，Paul
Comment çava	怎么样？
ca va bien merci	很好，谢谢
Bienvenue Marie	欢迎你，Marie
Bonjour Marie enchanté	你好Marie，很高兴认识你
Au revoir	再见
a bientot	回头见àbientôt
Bonne soirée	祝你晚上愉快
très	非常
bonne nuit	晚安
Tu es francais	你是法国人吗？
Ju suis chinois	我是中国人
Elle est coréenne	她是韩国人;她是韩国人（阴性）
Ju suis en Chine	我在中国
Il est en France	他在法国吗？
Elle parle espagnol	她说西班牙语
Il est chinois	他是中国人（国籍用形容词，阳性）
Elle est chinoise	她是中国人（阴性形容词以e结尾）
Il est coréen	他是韩国人（阳性）
Marie est francaise	"Marie是法国人"
un livre francais	一本法国书
un thé anglais	一杯英国茶
c'est une boutique francaise	这是一家法国商店
c'est une fille anglaise	这是一个英国女孩
un bébé francais	一个法国宝宝
une fête francaise	一个法国节日（形容词放在名词后面）
un chocolat chinois	一块中国巧克力
une boutique espagnole	一家西班牙商店
Je parle francais et anglais	我说法语和英语
Marc est anglais	"Marc是英国人"
Elle s'appelle Alice	她叫Alice
Comment tu t'appelles	你叫什么？
Je m'appelle Marie	我叫Marie
Excuse-moi	对不起
Tu parles francais	你说法语吗？
je suis	我是
tu es	你是
il est	他是
elle est	她是
Il est francais	他是法国人
je parle	我说
je mange	我吃
tu parles	你说（s不发音）
tu manges	你吃（s不发音）
il parle	他说
il mange	他吃
elle parle	她说
elle mange	她吃
Tu habites a Paris	你住在巴黎吗？
J'étudie a Bordeaux	我在波尔多（法国西南部的一座城市）学习
Tu habites a Berlin	你住在柏林（德国的首都）吗？
Je travaille ici	我在这里工作
Julia est étudiante	"Julia是大学生"
Je suis en Europe	我在欧洲
Je suis professeur	我是老师
Il est étudiant	他是大学生（阳性）
Elle est étudiante	她是大学生（阴性）
Il est journaliste	他是记者（有些职业不随着性别而变化）
Elle est journaliste	她是记者（有些职业不随着性别而变化）
Londres	伦敦
Je travaille à Londres	我在伦敦工作（后面是城市，用à）
Angleterre	英国
Je travaille en Angleterre	我在英国工作（后面是国家，用en）
J'habite à Paris	我住在巴黎（不发音的h前面的短词，经常和后面的单词合并缩写）
J'habite en France	我住在法国（不发音的h前面的短词，经常和后面的单词合并缩写）
Je travaille en Espagne	我在西班牙工作
Espagne	西班牙
ton	你的
chien	狗
et	和
café	咖啡
ou	还是
thé	茶
nouveau	新的
livre	书
bon	好的
gâteau	蛋糕
garçon	男孩
girafe	长颈鹿
chocolat	巧克力
arbitrary "adj.随意的，任性的，随心所欲的"
summary (n.) 摘要，总结
inject (v.) 给……注射
bead (n.) 珠子
conduct "v.进行；表现（读作/kənˈdΛkt/）"
genuine (adi.)真的;真正的;真诚的
adequate (adj.)足够的，充分的
pause "v.暂停，中止；n.（说话或朗读中的）停顿；中止…"
extraordinary (adj.) 非同寻常的
species (n.) 物种
extend (v.) 扩展；延长；提供，给予
combination (n.) 结合，联合
bid	"n.出价；投标；努力争取；v.出价；投标；问候；道…"
berry	(n.) 浆果
shorten	(v.) 缩短，（使）变短
ribbon	(n.) 缎带，丝带
cleaner	(n.) 清洁器
appliance	(n.) 家用电器，器具
airmail	(n.) 航空邮件
generation	(n.) 一代人；产生
whether	(conj.) 是否；不管，无论
pleasant	(adj.) 令人愉快的，舒适的
outstanding	(adj.) 杰出的，出众的
heart	"n.心，心脏；内心；关键，核心；中心，中央"
cocoa	(n.) 可可粉
proportion	(n.) 比例
eyesight	(n.) 视力
pioneer	"n.先锋，先驱；vt.开辟，首倡"
humorous	(adj.) 幽默的，搞笑的
remain	"link-v.保持；v.剩余；n.遗迹"
contribution	(n.) 贡献
region	(n.) 地区，区域，地带
tendency	(n.) 趋向，趋势，倾向
bucket	"n.水桶，（有提梁的）桶；大量；v.颠簸行进；装…"
subjective	(adj.) 主观的，个人的
mist	(n.) 薄雾
fry	"v.油炸；n.油炸食物；(adj.) 油炸的，油煎的…"
leak	(n.) 泄漏，裂缝；v.泄露
hammer	(n.) 锤子
catfish	(n.) 鲇（鲶）鱼
aloud	(adv.) 大声地
institute	"n.学院，专科学院，研究院（或所）"
disaster	(n.) 灾难，天灾
venture	(n.) 企业
circus	(n.) 环形广场
somehow	(adv.) 以某种方式
civilization	(n.) 文明
birthplace	(n.) 发源地
nuclear	(adj.) 核能的
disk	(n.) 圆盘，唱片
wonder	"v.想知道，想弄明白；n.惊奇，惊异；奇迹，奇观"
burst	"vi.突然出现；n.迸发；v.爆炸"
adolescence	(n.) 青春期，青春
poet	(n.) 诗人
dispose	(v.) 处理，处置
postpone	(vt.) 推迟，延缓
latter	(n.) 后者；adj.后面的
positive	(adj.) 积极的，乐观的
carbon	(n.) 碳
catalog	(n.) 目录，目录册，商品目录
rhythm	(n.) 节奏
sideline	(n.) 球场边线；副业
channel	(n.) 渠道，方法
spacecraft	(n.) 航天器
inspire	(v.) 激励，鼓舞；激发灵感
paste	(n.) 糊状物，糨糊
fund	"n.资金，基金；v.拨款，提供资金"
