interactive	（adj. 交互的
definitely	（adv. 肯定地，毫无疑问地；确实；明确地，确定地
qualified	（adj. 合格的，胜任的
eligible	（adj. 符合条件的；（尤指婚姻等）合适的，合意的
unmanned	（adj. 无人驾驶的
automated	（adj. 机械化的；自动化的
manned	（adj. 由人操作的；载人的；有人控制的，需人操纵的
examine	(vt.) 检查；测验；调查
inspect	(v.) 检查，审查
factor	(n.) 因素
fictional	(adj.) 虚构的
impress	(v.) 给……留下深刻印象
memoir	(n.) 回忆录
network	(n.) 网络；人际关系网，联络网
delicate	(adj.) 易碎的，脆弱
below	(prep.) 在……之下；低于；adv. 在下面；在零下；…
differ	(vi.) 相异，不同于
occur	(vi.) 发生；出现，存在；（想法）被想到
come about	(phr.) 发生
certificate	(n.) 合格证书，文凭；证明，证明书
grocery store	(n.) 食品杂货店
cuisine	(n.) 菜肴；烹饪；风味
dilemma	(n.) 进退两难的窘境
vine	(n.) 藤，蔓；葡萄属植物；葡萄藤
portable	(adj.) 轻便的，手提的，便携式的；【财】便于携带的…
directory	(n.) 电话号码簿；目录
drought	(n.) 干旱，旱灾
dictation	(n.) 口述；听写
journalist	(n. 新闻记者；新闻工作者
cooperative	(adj. 合作的；   n. 合作社
excitement	(n. 兴奋
intolerant	(adj. 不能容忍的；偏执的
dip	(vt. 浸 ，蘸；   n. 倾斜 ，下降
dignity	（n. 尊严；威严；端庄
applaud	（v. 鼓掌；  喝彩；  向 …鼓掌表示赞赏；给 … …捧场；称赞"
sincerely	（adv. 真诚地
pleasure	（n. 愉快 ，乐事；荣幸；高兴 ，乐意"
demanding	（adj. 要求高的
yell	(v. 叫喊
compassionate	(adj. 有同情心的
sympathetic	(adj. 有同情心的，  同情的
miserable	(adj. 痛苦的 ，悲惨的 ；令人难受的
gesture	手势，姿势n.
occupy	占据，占领vt.
outspoken	直言的，坦率的adj.
pinch	捏，掐，夹痛； v.  捏；少量，一撮；困苦n.
clone	克隆；复制；v.  无性繁殖系个体 n.
sorrow	悲伤n.
industrial	工业的adj.
devotion	投入 n.
evaluate	评估；评价vt.
artificial	假装的，虚伪的；人造的adj.
spatial	空间的adj.
infer	推断vt.
faint	微弱的；adj.  昏厥vi.
abundance	大量；丰富；充裕n.
entertain	使娱乐v.
fragrant	芬芳的；香的adj.
put in	插入；提交；任命；实 行；花费（时间）；种植…phr.
invest	投资v.
handful	一把；少数n.
enthusiast	爱好者，狂热者n.
advancements	进步；进展；升任n.
agricultural	农业的adj.
wrap	裹，包，捆vt.
wrap up	包裹好；完成某事 phr.
athlete	运动员，田径运动员n.
employee	雇员 n.
damp	潮湿的，有湿气的；adj.  抑制v.
moisture	水分；潮湿；湿度；湿气n.
intend	打算 v.
bare	空的adj.
preschool	未满学龄的，就学前的，入学前的；adj.  幼儿… n.
glow	发光，发出微光；vi.光亮，光辉 n.
conflict	冲突，争执，矛盾n.
lean	倾斜v.
bob	上下浮动v.
swear	发誓，郑重地说v.
grind	研磨；折磨；v. 苦差事，苦活儿n.
whistle	口哨（声）；n.吹口哨 v.
fluid	流动的adj.
dissolve	（使）溶解v.
evolution	进化，演变n.
cabin	（简陋的）小屋n.
polar	南极的，北极的adj.
hunch	直觉，预感n.
bacon	培根 n.
bounce	弹起v.
blossom	开花；v.  （果树的）花；花簇n.
fascination	入迷；魅力，极大的吸引力n.
eggplant	茄子n.
stadium	体育场，露天大型运动场n.
