underline	在。。。下划线；强调，使突出vt
underlined	带下划线的adj
understand	明白，懂得；理解vt（understood，understood）
understood	【过去式，过去分词】understand
united	联合的；统一的adj
until	直到prep conj == till
value	价值；价格；数值；价值观【U，C】给。。。估价；重视；珍惜【V】
traditional values	传统价值观
increase in value	升值 == rise/go up in value
decrease in value	贬值 == fall/go down in value
victory	胜利【U,C】--复数：victories
view	看法，见解；风景，景色；视野【U，C】
visitor	参观者；访问者n【C】
an exchange visit	一次交流访问
voice	嗓音【C】
volleyball	排球【C】
volunteer	志愿者【C】；自愿（做）；自愿提供【vt vi】
traffic	交通【U】
train	火车【C】；培训，训练vt
translate	翻译vt
transport	运输，运送；输送vt；【n】
transportation	运输；交通；交通工具【U】 == transport
travel	旅行【U】【vi】
trouble	问题；烦恼；麻烦；困难【U，C】；使苦恼；使麻烦【vt】
truck	卡车；货车n
try to do something	尽力做某事
turkey	火鸡【C】--复数：turkeys
turn	旋转；翻转；转弯；转变；变得【vt vi】（轮流的）顺序【C】
turn on	开，旋开（电灯，电视，收音机等）
turn down	（把音量）调低
turn up	（把音量）调高
turn out	结果是；证明是
turn over	翻（车）；翻（页）；翻身
type	类型【C】打字【Vt vi】
succeed	获得成功，达到目的vi
suddenly	突然地adv
sudden	突然的adj
suffer	受苦；遭受vi
suffer from	遭受
sugar	糖【U，C】
sun	太阳；阳光【C】
super	超级的；极好的；特级的adj == wonderful
suppose	猜想，假定，料想vi
sure	确信的，肯定的，有把握的adj（surer，surest）【近义词】certain 肯定的，确定的adj
surer	【比较级】sure
surest	【最高级】sure
survey	调查vt 【C】
survive	幸存，活下来；存活；生还vt vi
sweep	扫除，扫vt（swept，swept）
swept	【过去式，过去分词】sweep
sweet	甜的；可爱的adj；甜食；糖果【C】
symbol	符号；象征【C】
table	桌子；表格【C】
take	拿；拿走；做；吃，服用；乘坐（车、船）；花费（时间）；拍照vt（took，taken）
talent	才能；天才【U，C】
to one's great joy	使某人非常高兴的是
talk	谈话，讲话，演讲；交谈【U，C】【vi】
steak	牛排【C】
steal	偷，窃取vt（stole，stolen）
stole	【过去式】steal
stolen	【过去分词】steal
steam	蒸汽；水蒸气【U，C】
stick	木棒，枝条【C】粘住，钉住；坚持 vi（stuck，stuck）
stuck	【过去式，过去分词】stick；被卡住的，被困住的adj
stocking	长筒袜【C】 -- 复数：stockings
stop	停止；阻止vt；停；（停车）站【C】
stranger	陌生人 n
suffer from stress	承受压力
strict	严格的；严密的adj
strike	敲，打击，侵袭；（钟）鸣vt （struck，struck/stricken）
strength	精力，体力
in style	流行；时髦
set	释放，安置；树立（榜样）；创造（记录）vi（set，set）
settle	安家，定居；解决vi
settle down	安置
shame	遗憾的事;羞愧【C】
shine	发光；照耀；使发光vi（shone，shone）
shop	店铺【C】；购物vi
in short supply	不充裕；短缺；紧缺
shout	喊；高声呼喊【C】 vi
show	给。。。看；出示；显示；告知；表明vt（showed，shown）；展示；演出；节目；展览会【C】
shower	阵雨；淋浴【C】
shut	关上，封闭vt（shut，shut）
shy	害羞的adj（shyer，shyest）
shyer	害羞的【比较级】
shyest	害羞的【最高级】
sick	有病的，患病的；（想）呕吐的；恶心的adj
inside	在。。。里面prep；在里面adv
sight	风景；视力【U，C】
sign	符号，标记【C】；签名，署名vt
signal	信号；手势n【C】
silent	静的，无声的adj
silk	丝绸，丝【u】
silly	傻的，愚蠢的adj（sillier，silliest） == stupid
surf the net	上网浏览
network	网络；网络系统【C】
build up a network	建立网络
news	新闻；消息【U】
news conference	记者（招待）会
in a newspaper	在报上
the next year	第二年
good night	晚安
noise	声音；噪声；响声【U，C】
noodle	面条（常做noodles）【C】
moment	片刻，瞬间 [C]
monitor	班长；监视器【C】
mood	心情，语气，气氛【C】
in the mood	兴致勃勃
mushroom	蘑菇【C】
nation	民族；国家【C】
national	全国性的；国家的；民族的adj
nationalities	国籍n 【复数】
native	本地的，本国的，当地的adj；本地人，本国人【C】
need	需要；必须【v /aux】；需求；必要【U，C】
meet the needs of	满足。。。的需要，needs可用单数或复数
